SpaceshipUpdate,CollisionUpdate,ParticlesUpdate,ProjectilesUpdate,BackgroundUpdate,SpaceshipDraw,ProjectilesDraw,BackgroundDraw,ParticlesDraw
0.000479967,4.31477e-005,5.58865e-005,2.05465e-006,3.78056e-005,0.000854324,2.13684e-005,0.000287651,7.80767e-006
1.97247e-005,2.05465e-006,3.41072e-005,1.64372e-006,2.71214e-005,0.000844051,2.05465e-005,0.000270392,7.39674e-006
1.1917e-005,2.46558e-006,3.534e-005,2.05465e-006,2.79433e-005,0.000853091,2.17793e-005,0.000309841,6.98581e-006
1.02733e-005,2.05465e-006,3.04088e-005,1.64372e-006,2.46558e-005,0.000847749,2.01356e-005,0.000269981,7.39674e-006
4.52023e-005,8.21861e-006,4.39695e-005,7.39674e-006,9.04047e-005,0.000783233,2.01356e-005,0.000263817,6.98581e-006
3.98602e-005,8.62953e-006,5.67084e-005,6.98581e-006,8.34188e-005,0.000806245,2.05465e-005,0.000270803,7.39674e-006
1.23279e-005,2.05465e-006,3.36963e-005,1.64372e-006,2.75323e-005,0.000814875,2.01356e-005,0.000270392,7.39674e-006
2.3423e-005,2.05465e-006,3.90384e-005,1.64372e-006,2.71214e-005,0.000807478,2.09574e-005,0.000295048,6.98581e-006
0.00017218,1.64372e-006,3.36963e-005,2.05465e-006,2.67105e-005,0.000815697,2.09574e-005,0.000271214,7.39674e-006
4.52023e-005,7.80767e-006,3.24635e-005,6.98581e-006,6.61598e-005,0.000807889,2.01356e-005,0.000266694,6.98581e-006
1.27388e-005,2.05465e-006,3.45181e-005,1.64372e-006,2.83542e-005,0.000853913,2.13684e-005,0.00028724,7.80767e-006
1.23279e-005,2.05465e-006,3.28744e-005,2.05465e-006,2.67105e-005,0.000806245,2.05465e-005,0.000270803,7.39674e-006
1.1506e-005,1.64372e-006,3.28744e-005,2.05465e-006,2.67105e-005,0.000807889,2.09574e-005,0.000269159,7.39674e-006
1.31498e-005,2.05465e-006,3.41072e-005,2.05465e-006,2.87651e-005,0.000856379,2.01356e-005,0.000261763,6.98581e-006
